pair_id,case_id,slug,match_rule,title_similarity,token_jaccard,left_row_number,right_row_number,left_title,right_title,left_doi,right_doi,left_year,right_year,left_source,right_source,human_same_report,human_same_study,reviewer_id,review_notes
639e069e6897be0bebfe,2,mindfulness_anxiety,exact_normalized_title,1.0,1.0,1786,2126,"An overview of systematic reviews on mental health promotion, prevention, and treatment of common mental disorders for refugees, asylum seekers, and internally displaced persons.","An overview of systematic reviews on mental health promotion, prevention, and treatment of common mental disorders for refugees, asylum seekers, and internally displaced persons",10.1002/14651858.cd013458.pub2,,2020,2019,EuropePMC,EuropePMC,,,,
6b33b8b8a5f6bcc2e674,2,mindfulness_anxiety,exact_normalized_title,1.0,1.0,1581,1928,Psychological therapies for depression in older adults residing in long-term care settings.,Psychological therapies for depression in older adults residing in long‐term care settings,10.1002/14651858.cd013059.pub2,,2024,2018,EuropePMC,EuropePMC,,,,
2ed27ecff735cbf46be1,16,microplastics_freshwater,exact_normalized_title,1.0,1.0,948,2981,"Dynamics of plastic debris and its density change between river compartments in the Tuul River system, Mongolia.","Dynamics of plastic debris and its density change between river compartments in the Tuul River system, Mongolia",10.1007/s11356-024-35584-w,10.21203/rs.3.rs-4140504/v1,2024,2024,EuropePMC,EuropePMC,,,,
dbd8697cd5f343b883d0,16,microplastics_freshwater,exact_normalized_title,1.0,1.0,1324,1509,"Spatio-temporal distribution of microplastics in surface water of typical urban rivers in North China, risk assessment and influencing factors","Spatio-temporal distribution of microplastics in surface water of typical urban rivers in North China, risk assessment and influencing factors.",,10.1016/j.jconhyd.2025.104626,2025,2025,EuropePMC,EuropePMC,,,,
3cc229ea7d04da80b3e2,11,class_size_achievement,exact_normalized_title,1.0,1.0,1322,3723,Vision status of children aged 7–15 years referred from school vision screening in Norway during 2003–2013: a retrospective study,Vision status of children aged 7 - 15 years referred from school vision screening in Norway during 2003 - 2013: a retrospective study,https://doi.org/10.1186/s12886-019-1178-y,https://doi.org/10.21203/rs.2.225/v5,2019.0,2019.0,OpenAlex,OpenAlex,,,,
a22ce742979bc4706db8,12,llm_higher_education,exact_normalized_title,1.0,1.0,3323,3951,Whodunit: Classifying Code as Human Authored or GPT-4 generated- A case study on CodeChef problems,Whodunit: Classifying Code as Human Authored or GPT-4 Generated -- A case study on CodeChef problems,,10.1145/3643991.3644926,2024.0,2024.0,CORE,CORE,,,,
26c2a11aab1da2b21c41,20,deep_learning_predictive_maintenance,exact_normalized_title,1.0,1.0,1278,3408,Short-Term Firm-Level Energy-Consumption Forecasting for Energy-Intensive Manufacturing: A Comparison of Machine Learning and Deep Learning Models,Short-Term Firm-Level Energy Consumption Forecasting for Energy-Intensive Manufacturing: A Comparison of Machine Learning and Deep Learning Models,https://doi.org/10.3390/a13110274,https://doi.org/10.20944/preprints202009.0491.v1,2020.0,2020.0,OpenAlex,OpenAlex,,,,
6d546ead68eff19cf5b1,16,microplastics_freshwater,exact_normalized_title,1.0,1.0,1918,4787,A study on transboundary governance of marine plastic debris-the case of an adjacent waters between China and Taiwan.,A Study on Transboundary Governance of Marine Plastic Debris—the Case of an Adjacent Waters between China and Taiwan,10.1007/s11356-024-31876-3,10.21203/rs.3.rs-2030433/v1,2024,2022,EuropePMC,EuropePMC,,,,
a87414b34ebe7c0510a4,16,microplastics_freshwater,exact_normalized_title,1.0,1.0,1248,1441,"Downsizing plastics, upsizing impact: How microplastic particle size affects Chironomus riparius bioturbation activity","Downsizing plastics, upsizing impact: How microplastic particle size affects Chironomus riparius bioturbation activity.",,10.1016/j.envres.2025.121055,2025,2025,EuropePMC,EuropePMC,,,,
724ba819b9ca3c231c18,7,restorative_justice_recidivism,exact_normalized_title,1.0,1.0,1502,1508,Enforceable Undertaking: A Restorative Sanction,Enforceable Undertaking: A Restorative Sanction?,,10.26180/5db7fd78e620d,2010.0,2019.0,CORE,CORE,,,,
